Fished,Lon,Lat
100,-39.50000,-53.58333
100,-39.43333,-53.61667
100,-35.86667,-53.66667
100,-34.98333,-54.66667
100,-35.13333,-54.80000
100,-36.08333,-54.08333
100,-38.76667,-53.88333
100,-39.30000,-54.26667
100,-39.50000,-53.58333
200,-42.61667,-53.35000
200,-42.41667,-53.21667
200,-42.03333,-53.35000
200,-42.43333,-53.53333
200,-42.61667,-53.35000
